Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-10.64%,2.76%,24.33%
,ebitda margin growth,16.04%,-3.76%,-1.27%,-14.84%
,net income growth,-3%,-3.41%,5%,11%
,revenue growth,11.54%,-0.33%,4%,6%
,roce,19.79%,-12.81%,-10.01%,30.78%
,roe,-2.95%,-10.97%,28.6%,-34.22%
