Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-20.16%,35.42%,71.95%
,ebitda margin growth,0.45%,-19.33%,4.88%,2.61%
,net income growth,-2.63%,-28.06%,47%,13%
,revenue growth,3.59%,7.85%,5%,18%
,roce,-1.29%,-34.42%,-15.61%,21.12%
,roe,-2.63%,-41.03%,23.63%,-37.37%
