Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-58.49%,-92.28%,26.65%
,ebitda margin growth,-11.61%,-8.38%,-5.27%,63.4%
,net income growth,-6.07%,-55.43%,-18%,-11%
,revenue growth,0.57%,-1.97%,11%,12%
,roce,—,-18.91%,-7.74%,5.94%
,roe,—,-57.17%,8.75%,563.89%
