Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1125,975,801,904,1019,1216,1505,1501
Expenses,575,-40,413,422,415,496,567,531
Operating Profit,550,1014,388,483,603,720,938,970
OPM %,49,104,48,53,59,59,62,65
Other Income,35,30,49,44,52,45,30,47
Interest,9,16,16,16,11,10,8,7
Depreciation,6,7,7,7,7,9,24,18
Profit before tax,570,1022,414,503,638,745,936,992
Tax %,26,26,25,25,26,27,27,26
Net Profit,420,757,309,378,471,547,686,735
EPS in Rs,13.51,20.71,1.69,1.81,0.79,0.89,1.09,1.17
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,,
Sales,427,1142,2794,4061,4645,5242,,
Expenses,661,743,2050,1531,1901,2010,,
Operating Profit,-233,399,743,2530,2744,3231,,
OPM %,-55,35,27,62,59,62,,
Other Income,0,119,-1337,0,171,174,,
Interest,0,2,4,43,46,37,,
Depreciation,3,12,20,25,48,58,,
Profit before tax,-236,504,-618,2464,2821,3310,,
Tax %,1,9,30,26,26,—,,
Net Profit,-239,458,-805,1824,2083,2440,,
EPS in Rs,-2144.93,67.2,-118.2,9.98,3.32,3.94,,
Dividend Payout %,0,0,0,0,0,—,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Equity Capital,0.11,21,21,366,1248,,,
Reserves,2706,3252,2478,4446,8404,,,
Borrowings,0,75,91,610,292,,,
Other Liabilities,1291,1460,5428,4654,8567,,,
Total Liabilities,3997,4808,8018,10076,18511,,,
Fixed Assets,286,321,396,402,1492,,,
CWIP,0,0,0,0,0,,,
Investments,280,1252,1448,1907,2638,,,
Other Assets,3431,3235,6174,7768,14381,,,
Total Assets,3997,4808,8018,10076,18511,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Cash from Operating Activity,-349,548,885,-962,-21,,,
Cash from Investing Activity,-1512,-363,-910,140,-1351,,,
Cash from Financing Activity,1874,-5,4,876,2175,,,
Net Cash Flow,14,179,-21,53,804,,,
Free Cash Flow,-357,537,878,-979,-33,,,
CFO/OP,144,150,157,37,26,,,
Item,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,
---,---,---,---,---,---,,,
Debtor Days,12,12,9,9,22,,,
Cash Conversion Cycle,12,12,9,9,22,,,
Working Capital Days,-961,-2,-434,-162,-257,,,
ROCE %,—,16,24,63,37,,,
