Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,—,-486.64%,—
,ebitda margin growth,22.07%,3.17%,-17.29%,-13.62%
,net income growth,44.47%,-17.5%,-13%,-10%
,revenue growth,15.79%,-5.05%,12%,8%
,roce,22.86%,-33.09%,-44.16%,10.7%
,roe,44.46%,-35.99%,11.61%,-60.95%
