Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,851,895,768,758,868,974,921,923,990,1003,1007,979
Expenses,780,836,708,683,764,857,785,811,865,867,838,863
Operating Profit,71,59,60,74,103,117,136,112,125,136,169,115
OPM %,8,7,8,10,12,12,15,12,13,14,17,12
Other Income,1,-2,2,2,2,3,14,7,5,-2,13,5
Interest,43,46,45,44,25,27,28,27,30,26,51,29
Depreciation,12,14,19,16,16,13,16,16,16,18,29,23
Profit before tax,16,-3,-1,16,64,80,106,76,84,89,103,68
Tax %,29,33,70,28,26,28,26,26,25,28,63,33
Net Profit,11,-4,-2,11,48,57,79,56,63,64,38,45
EPS in Rs,0.46,-0.18,-0.1,0.4,1.7,2.05,2.81,2.02,2.3,2.38,1.46,1.76
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,2996,2348,2686,3147,3328,3520,3923,3979,,,,
Expenses,2762,2154,2488,2961,3085,3089,3380,3433,,,,
Operating Profit,234,195,197,186,243,431,542,546,,,,
OPM %,8,8,7,6,7,12,14,14,,,,
Other Income,16,19,11,11,1,21,23,21,,,,
Interest,180,142,146,136,173,126,135,137,,,,
Depreciation,69,59,59,55,58,61,79,86,,,,
Profit before tax,0,13,4,6,13,266,351,343,,,,
Tax %,-2948,80,62,73,86,27,37,—,,,,
Net Profit,13,3,1,2,2,195,220,210,,,,
EPS in Rs,0.54,0.11,0.06,0.07,0.07,6.97,8.16,7.9,,,,
Dividend Payout %,0,0,0,0,0,52,66,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,47,47,47,49,49,56,56,,,,,
Reserves,326,328,357,357,358,1487,1607,,,,,
Borrowings,1058,981,863,793,835,905,1151,,,,,
Other Liabilities,983,952,988,1301,1403,1086,1350,,,,,
Total Liabilities,2414,2308,2255,2500,2645,3534,4163,,,,,
Fixed Assets,636,649,692,575,635,749,889,,,,,
CWIP,48,17,15,14,16,19,110,,,,,
Investments,0,22,0,0,0,0,0,,,,,
Other Assets,1730,1620,1548,1910,1995,2765,3164,,,,,
Total Assets,2414,2308,2255,2500,2645,3534,4163,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,595,247,179,230,186,-678,362,,,,,
Cash from Investing Activity,-45,-59,53,-19,-54,-182,-331,,,,,
Cash from Financing Activity,-496,-216,-256,-203,-132,922,10,,,,,
Net Cash Flow,53,-29,-24,8,0,61,41,,,,,
Free Cash Flow,548,212,124,210,141,-806,16,,,,,
CFO/OP,255,128,93,126,80,-141,94,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,114,135,130,111,136,181,168,,,,,
Inventory Days,151,196,153,190,124,196,221,,,,,
Days Payable,172,267,228,189,204,206,235,,,,,
Cash Conversion Cycle,93,64,54,113,57,172,154,,,,,
Working Capital Days,-39,-52,-30,-18,-20,67,55,,,,,
ROCE %,—,11,11,12,16,21,18,,,,,
