Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,68.5%,-20.87%,42.48%
,ebitda margin growth,-11.4%,-5%,-10.43%,5.13%
,net income growth,-29.23%,-3.7%,5%,24%
,revenue growth,-12.44%,2.35%,5%,12%
,roce,-25.14%,-20.42%,-48.14%,37.13%
,roe,-29.23%,-21.58%,39.52%,57.7%
