Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,75039,78008,79434,81546,83002,85040,86779,87372,86994,87067,87182,90575
Expenses,45349,50530,62938,49690,52074,41307,47709,64497,45161,54145,44028,58292
Financing Profit,-11560,-15764,-27196,-12723,-14487,-3181,-7916,-24833,-4908,-12899,-2066,-15342
Financing Margin %,-15,-20,-34,-16,-17,-4,-9,-28,-6,-15,-2,-17
Other Income,32528,37007,44958,35450,38455,27154,33489,45683,31567,39860,29737,42535
Interest,41250,43242,43692,44580,45414,46914,46986,47709,46741,45821,45220,47626
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,20967,21243,17761,22727,23968,23973,25573,20850,26659,26961,27672,27193
Tax %,17,17,-1,24,22,24,25,18,24,23,24,25
Net Profit,17312,17718,18013,17188,18627,18340,19285,17090,20364,20691,21074,20383
EPS in Rs,11.09,11.37,11.6,10.83,11.68,11.54,12.31,10.6,12.76,12.87,13.22,12.5
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,85288,105161,122189,128552,135936,170754,283649,336367,348615,351819,,
Expenses,29532,34856,45459,52457,56557,63042,174196,186974,203635,201625,,
Financing Profit,13374,16592,14593,16848,20795,29932,-44685,-34501,-40511,-35215,,
Financing Margin %,16,16,12,13,15,18,-16,-10,-12,-10,,
Other Income,16057,18947,24879,27333,31759,33912,124346,134548,146848,143700,,
Interest,42381,53713,62137,59248,58584,77780,154139,183894,185491,185408,,
Depreciation,967,1221,1277,1385,1681,2345,3092,3805,4195,0,,
Profit before tax,28464,34318,38195,42796,50873,61498,76569,96242,102141,108485,,
Tax %,35,35,29,26,25,25,15,24,22,—,,
Net Profit,18561,22446,27296,31857,38151,46149,65446,73440,79219,82512,,
EPS in Rs,17.83,20.5,24.85,28.87,34.31,41.22,42.16,46.26,49.39,51.35,,
Dividend Payout %,18,18,5,11,23,23,23,24,31,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,513,519,545,548,551,555,558,760,765,1539,,
Reserves,91281,109080,153128,175810,209259,246772,288880,455636,521024,584520,,
Borrowing,98416,156442,157733,186834,177697,226966,256549,730615,634606,588485,,
Deposits,643134,788375,922503,1146207,1333721,1558003,1882663,2376887,2710898,3099638,,
Other Liabilities,59000,48770,58898,71430,78279,90639,101783,466296,524817,633519,,
Total Liabilities,892344,1103186,1292806,1580830,1799507,2122934,2530432,4030194,4392110,4907701,,
Fixed Assets,4000,4008,4369,4776,5248,6432,8431,12604,15258,16492,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,210777,238461,289446,389305,438823,449264,511582,1005682,1186473,1280216,,
Other Assets,677567,860717,998991,1186750,1355435,1667238,2010419,3011909,3190379,3610993,,
Total Assets,892344,1103186,1292806,1580830,1799507,2122934,2530432,4030194,4392110,4907701,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,17282,17214,-62872,-16869,42476,-11960,20814,19069,127242,113506,,
Cash from Investing Activity,-1146,-842,-1503,-1403,-1823,-2051,-2992,16600,-3651,7477,,
Cash from Financing Activity,-5893,57378,23131,24394,-7321,48124,23941,-3983,-102478,-59005,,
Net Cash Flow,10242,73750,-41244,6122,33332,34113,41762,31687,21113,61978,,
Free Cash Flow,16134,16377,-64470,-18486,40796,-14176,17390,14882,123267,110144,,
CFO/OP,51,49,-72,-8,73,4,35,38,98,94,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,18,18,17,16,16,17,17,17,14,14,,
