Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,735,841,929,949,1053,1034,1120,1123,1135,1104,1269,1376
Expenses,375,396,464,457,488,453,545,511,541,497,641,652
Operating Profit,360,445,465,493,565,582,575,612,593,607,629,724
OPM %,49,53,50,52,54,56,51,54,52,55,50,53
Other Income,3,2,0,7,4,1,9,3,8,2,20,8
Interest,147,171,183,183,200,225,215,240,237,242,258,295
Depreciation,24,45,45,20,21,24,29,24,25,27,36,27
Profit before tax,191,231,237,297,347,334,340,351,339,340,355,411
Tax %,24,24,24,26,26,25,25,25,25,25,24,26
Net Profit,145,176,181,221,257,252,255,264,254,254,269,306
EPS in Rs,8.28,10.01,10.24,12.49,14.43,14.05,14.2,14.66,14.09,13.96,14.79,16.75
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,780,1384,1778,2223,3156,4162,4631,4884,,,,
Expenses,281,939,1132,1340,1591,1942,2189,2331,,,,
Operating Profit,499,444,646,883,1565,2220,2441,2553,,,,
OPM %,64,32,36,40,50,53,53,52,,,,
Other Income,76,-565,638,8,3,14,33,38,,,,
Interest,200,246,278,396,620,822,977,1032,,,,
Depreciation,15,50,71,89,136,94,113,115,,,,
Profit before tax,360,-417,935,406,812,1318,1385,1445,,,,
Tax %,21,14,8,25,23,25,25,—,,,,
Net Profit,286,-475,857,305,625,985,1040,1082,,,,
EPS in Rs,—,—,—,—,35.43,54.82,57.19,59.59,,,,
Dividend Payout %,0,0,0,0,0,53,24,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,26,35,35,35,35,36,36,,,,,
Reserves,1056,1592,1896,2219,2859,3454,4085,,,,,
Borrowings,1287,1428,3549,5413,6746,7839,11544,,,,,
Other Liabilities,2841,4397,5119,5048,10747,17059,18827,,,,,
Total Liabilities,5211,7451,10598,12716,20387,28388,34491,,,,,
Fixed Assets,108,162,219,284,290,312,289,,,,,
CWIP,4,22,18,25,8,5,0,,,,,
Investments,665,25,70,170,170,221,358,,,,,
Other Assets,4434,7242,10292,12237,19920,27850,33844,,,,,
Total Assets,5211,7451,10598,12716,20387,28388,34491,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,-500,-1108,-1425,-1865,-1658,-371,-3014,,,,,
Cash from Investing Activity,-112,-124,-81,-173,-79,-63,-128,,,,,
Cash from Financing Activity,235,877,2139,1825,1316,601,3181,,,,,
Net Cash Flow,-376,-354,633,-212,-422,166,40,,,,,
Free Cash Flow,-516,-1127,-1475,-1942,-1739,-403,-3041,,,,,
CFO/OP,-99,-240,-210,-203,-93,-2,-110,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,163,72,183,146,74,66,79,,,,,
Inventory Days,1378,—,—,—,—,—,—,,,,,
Days Payable,748,—,—,—,—,—,—,,,,,
Cash Conversion Cycle,793,72,183,146,74,66,79,,,,,
Working Capital Days,-912,-860,-503,-277,-966,-1234,-1148,,,,,
ROCE %,—,17,14,12,17,20,17,,,,,
