Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,5068,5172,5467,5875,6017,6325,6731,7054,7128,7344,7755,8035
Expenses,2164,2076,2339,2349,2219,2269,2561,2414,2275,2348,2312,2522
Financing Profit,268,390,246,450,588,675,556,878,973,1075,1391,1248
Financing Margin %,5,8,4,8,10,11,8,12,14,15,18,16
Other Income,668,680,1022,894,792,788,981,825,846,933,938,1029
Interest,2636,2705,2882,3075,3210,3381,3614,3762,3880,3922,4052,4264
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,936,1070,1268,1344,1380,1463,1537,1703,1819,2008,2330,2277
Tax %,2,3,4,4,4,4,3,6,10,11,14,11
Net Profit,920,1038,1230,1295,1333,1412,1502,1504,1669,1799,2045,2023
EPS in Rs,1.3,1.47,1.74,1.83,1.88,1.84,1.95,1.96,2.17,2.34,2.66,2.63
Gross NPA %,2.19,2.04,1.88,1.85,1.84,1.8,1.74,1.74,1.72,1.6,1.45,1.45
Net NPA %,0.23,0.22,0.2,0.2,0.2,0.2,0.18,0.18,0.18,0.15,0.13,0.13
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,11096,10850,11496,11869,13019,15899,20495,24948,29282,30262,,
Expenses,8034,9825,5330,6788,7278,6314,8542,9107,9005,9456,,
Financing Profit,-4643,-6090,-1050,-1889,-1233,1428,1281,2560,4661,4688,,
Financing Margin %,-42,-56,-9,-16,-9,9,6,10,16,15,,
Other Income,1540,1568,1660,2649,2655,2283,3015,3476,3538,3746,,
Interest,7706,7115,7216,6970,6974,8157,10672,13281,15616,16119,,
Depreciation,129,241,211,188,268,262,223,291,344,0,,
Profit before tax,-3232,-4763,399,571,1153,3448,4072,5745,7855,8433,,
Tax %,-66,0,0,0,0,24,0,4,11,—,,
Net Profit,-1112,-4763,399,571,1153,2605,4072,5542,7017,7536,,
EPS in Rs,-4.28,-17.3,0.68,0.87,1.71,3.87,5.75,7.21,9.12,9.8,,
Dividend Payout %,0,0,0,0,29,34,24,21,13,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,1168,2598,2753,5824,6560,6730,6730,7081,7692,7692,,
Reserves,6301,7469,3130,5085,5748,7331,9060,12789,21016,25533,,
Borrowing,8137,4064,10149,3670,4239,7747,10766,7719,23853,35234,,
Deposits,139040,138967,140636,150050,173989,202275,234064,270726,307120,350538,,
Other Liabilities,4765,3351,8008,4388,6299,6700,7207,9013,9673,8475,,
Total Liabilities,159411,156449,164676,169018,196835,230783,267827,307329,369354,427471,,
Fixed Assets,1564,1487,1741,1604,1622,2036,2149,2200,2911,2954,,
CWIP,22,30,34,72,52,205,8,10,4,8,,
Investments,38677,43742,59837,57891,68281,68762,69042,68465,82216,101588,,
Other Assets,119148,111189,103064,109451,126880,159780,196628,236655,284222,322922,,
Total Assets,159411,156449,164676,169018,196835,230783,267827,307329,369354,427471,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,7498,-1723,-10842,693,2447,6896,-1440,11581,7628,-11336,,
Cash from Investing Activity,-99,-134,-106,-100,-169,-300,-175,-260,-495,-506,,
Cash from Financing Activity,-77,1100,4220,698,217,378,228,461,4750,-2607,,
Net Cash Flow,7322,-758,-6729,1292,2495,6974,-1387,11783,11883,-14449,,
Free Cash Flow,7399,-1858,-10968,584,2258,6594,-1617,11305,7112,-11742,,
CFO/OP,140,-56,-1058,11,48,120,-15,97,48,-56,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,-17,-13,-60,5,5,9,17,23,23,23,,
