Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,26858,27852,28682,29145,30447,31895,32523,32572,32513,32889,32798,33589
Expenses,10259,9449,9831,8473,8592,7494,9142,9197,8299,9298,7518,8262
Financing Profit,-221,959,646,2136,2065,3663,1742,1547,2356,1426,3061,2743
Financing Margin %,-1,3,2,7,7,11,5,5,7,4,9,8
Other Income,2999,2676,4294,3615,4664,3392,4776,5427,4171,5013,4080,4365
Interest,16820,17444,18206,18536,19790,20738,21640,21828,21858,22164,22219,22583
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,2778,3634,4940,5751,6729,7055,6518,6973,6527,6440,7141,7108
Tax %,36,38,37,35,34,34,29,74,26,19,27,25
Net Profit,1990,2441,3363,3991,4739,4811,5011,2167,5121,5577,5602,5835
EPS in Rs,1.81,2.21,3.04,3.61,4.1,4.18,4.34,1.84,4.46,4.83,4.87,5.06
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,48725,52147,54918,81935,76242,86845,109065,124010,130772,131789,,
Expenses,43345,39645,25867,38601,36026,41502,39623,32743,33031,33378,,
Financing Profit,-28151,-22153,-7946,-7470,-6607,-6473,908,10563,9672,9587,,
Financing Margin %,-58,-42,-14,-9,-9,-7,1,9,7,7,,
Other Income,8883,7367,9388,12777,12329,12529,14158,17560,20062,17629,,
Interest,33530,34656,36997,50805,46823,51817,68534,80704,88069,88824,,
Depreciation,581,584,614,982,896,905,906,958,1281,0,,
Profit before tax,-19849,-15370,827,4325,4826,5151,14160,27166,28453,27216,,
Tax %,-37,-35,56,38,19,35,35,32,35,—,,
Net Profit,-12111,-9550,485,2695,3908,3359,9157,18553,18467,22134,,
EPS in Rs,-43.88,-20.79,0.65,2.45,3.51,3.04,8.27,16.08,16,19.22,,
Dividend Payout %,0,0,0,0,18,21,18,18,19,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,426,552,921,1348,2096,2202,2202,2202,2299,2299,,
Reserves,42990,40965,45164,62529,90439,95380,100678,108185,130839,147674,,
Borrowing,43336,65330,46828,62512,52298,59372,70149,72586,105807,107558,,
Deposits,629651,648439,681874,710254,1113717,1154234,1290347,1379225,1577020,1724795,,
Other Liabilities,16909,22242,15333,14814,21176,28113,30273,36438,41579,51005,,
Total Liabilities,733311,777528,790120,851457,1279725,1339301,1493649,1598636,1857544,2033331,,
Fixed Assets,6298,6371,6246,7262,11049,10696,12084,12348,13083,15625,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,191527,204419,210578,253782,404369,388586,416914,446421,524840,523515,,
Other Assets,535486,566738,573295,590413,864307,940019,1064651,1139867,1319620,1494191,,
Total Assets,733311,777528,790120,851457,1279725,1339301,1493649,1598636,1857544,2033331,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,21938,-1742,-33532,-12793,30950,20032,22592,-27939,22075,25635,,
Cash from Investing Activity,159,392,-629,-338,-787,-1204,-732,-1506,-1578,-609,,
Cash from Financing Activity,-9767,7460,13969,13591,5415,2032,1275,3518,-1138,-11664,,
Net Cash Flow,12330,6109,-20192,460,35579,20859,23135,-25928,19359,13362,,
Free Cash Flow,21442,-2394,-33972,-13131,30164,19496,22040,-29083,20490,24052,,
CFO/OP,92,1,-268,-36,72,54,52,-38,30,26,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,3,-29,-22,1,3,4,3,9,15,13,,
