Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,89.01%,89.01%,89.01%,89.01%,89.01%,89.01%,89.01%,89.01%
FIIs,2.24%,2.18%,1.98%,1.85%,1.79%,1.61%,1.61%,1.67%
DIIs,5.21%,5.29%,4.87%,4.65%,4.64%,4.81%,5.08%,5.21%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,3.29%,3.27%,3.87%,4.18%,4.25%,4.27%,3.99%,3.76%
Others,0.25%,0.25%,0.27%,0.31%,0.32%,0.31%,0.32%,0.35%
No. of Shareholders,1,1276900,1407560,1386020,1358210,1332650,1301460,1230470
