Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,4009,4162,8564,4244,4605,5771,9150,4440,5792,7154,10224,5547
Expenses,2995,3090,6277,3295,3205,4101,6334,3201,4090,5027,7243,4159
Operating Profit,1014,1072,2287,948,1400,1669,2816,1238,1702,2127,2982,1388
OPM %,25,26,27,22,30,29,31,28,29,30,29,25
Other Income,137,167,225,204,158,186,195,163,154,139,110,170
Interest,2,1,4,1,1,1,6,1,2,2,2,1
Depreciation,108,107,119,108,111,111,138,121,126,135,173,161
Profit before tax,1041,1132,2390,1043,1445,1744,2867,1279,1728,2128,2917,1396
Tax %,25,25,25,25,25,25,26,25,26,26,24,25
Net Profit,790,860,1797,791,1093,1312,2127,969,1287,1580,2226,1055
EPS in Rs,1.08,1.18,2.46,1.08,1.49,1.79,2.91,1.33,1.76,2.16,3.04,1.44
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,10401,12164,12968,14109,15368,17734,20268,23769,27610,28717,,
Expenses,8361,9255,10209,10895,12024,13645,15217,16932,19557,20518,,
Operating Profit,2039,2909,2759,3214,3344,4090,5051,6837,8053,8199,,
OPM %,20,24,21,23,22,23,25,29,29,29,,
Other Income,196,73,99,125,232,281,670,742,566,572,,
Interest,6,16,8,10,9,19,12,13,10,6,,
Depreciation,272,338,372,387,401,429,443,467,556,595,,
Profit before tax,1957,2628,2478,2942,3166,3923,5266,7099,8053,8170,,
Tax %,28,30,28,30,26,25,25,26,25,—,,
Net Profit,1431,1887,1825,2100,2400,2986,3985,5323,6062,6148,,
EPS in Rs,1.96,2.58,2.5,2.87,3.28,4.08,5.45,7.28,8.29,8.4,,
Dividend Payout %,34,44,37,46,46,44,40,33,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,223,244,244,244,244,244,731,731,731,731,,
Reserves,7512,7772,8968,9828,10816,12042,13131,15595,19243,23257,,
Borrowings,64,80,34,8,3,53,61,63,61,65,,
Other Liabilities,9800,10868,11575,14271,18430,21574,21567,23136,20788,20473,,
Total Liabilities,17600,18965,20821,24351,29492,33912,35490,39524,40824,44527,,
Fixed Assets,1501,1839,2298,2713,2652,2675,2963,3035,3419,4121,,
CWIP,743,940,849,828,883,1006,855,894,1052,731,,
Investments,491,937,964,1110,1306,1572,650,682,743,800,,
Other Assets,14865,15248,16710,19700,24651,28659,31022,34913,35610,38876,,
Total Assets,17600,18965,20821,24351,29492,33912,35490,39524,40824,44527,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-61,-687,1514,2570,5093,4207,1199,4659,564,1541,,
Cash from Investing Activity,3115,-6,-896,-649,-2595,-4872,2708,-5924,639,1730,,
Cash from Financing Activity,-2857,-1202,-663,-1061,-1076,-1078,-1262,-1475,-1696,-2097,,
Net Cash Flow,197,-1895,-45,861,1422,-1742,2645,-2739,-493,1175,,
Free Cash Flow,-853,-1492,785,1825,4625,3660,611,4015,-444,560,,
CFO/OP,33,0,79,114,175,150,55,120,33,44,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,184,176,161,189,170,145,145,133,140,170,,
Inventory Days,407,305,275,204,233,230,240,257,273,265,,
Days Payable,108,91,89,126,155,139,124,128,100,93,,
Cash Conversion Cycle,483,390,347,267,248,237,261,262,313,342,,
Working Capital Days,63,125,134,119,47,4,28,18,85,135,,
ROCE %,23,25,30,26,28,27,30,35,39,36,,
