Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,315,374,418,361,377,458,522,895,735,582,558,512
Expenses,189,208,235,221,228,253,281,537,436,317,292,278
Operating Profit,126,166,183,140,150,205,241,357,299,265,266,234
OPM %,40,44,44,39,40,45,46,40,41,46,48,46
Other Income,4,6,6,8,6,7,15,14,9,7,13,-1
Interest,50,48,53,32,34,45,48,49,45,46,41,39
Depreciation,35,35,37,39,42,48,50,54,57,58,60,61
Profit before tax,44,89,99,78,79,118,159,269,205,167,178,133
Tax %,18,20,17,22,274,18,22,24,24,26,8,35
Net Profit,36,71,82,61,-139,97,124,203,155,124,163,86
EPS in Rs,1.77,3.44,4.01,2.78,-6.35,4.42,5.67,9.3,7.08,5.67,7.44,3.93
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,796,987,981,286,508,1128,1417,1718,2770,2387,,
Expenses,551,668,644,279,409,676,833,982,1582,1323,,
Operating Profit,245,319,337,7,98,453,585,736,1188,1064,,
OPM %,31,32,34,2.5,19,40,41,43,43,45,,
Other Income,-66,44,24,14,11,92,20,36,41,27,,
Interest,212,266,146,152,144,154,197,159,180,171,,
Depreciation,112,115,113,117,118,117,138,179,230,237,,
Profit before tax,-145,-18,101,-248,-153,273,269,434,819,683,,
Tax %,-36,-58,1,-44,-47,33,-3,67,21,—,,
Net Profit,-93,-8,100,-139,-81,183,278,142,645,528,,
EPS in Rs,-5.43,-0.37,5.01,-6.78,-3.98,8.94,13.54,6.53,29.46,24.12,,
Dividend Payout %,0,0,0,0,0,0,0,0,7,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,152,171,205,205,205,205,205,205,218,219,,
Reserves,315,324,1218,1350,1211,1136,1337,1646,2828,3479,,
Borrowings,2636,2725,1546,1902,2058,2597,2853,3005,2604,2368,,
Other Liabilities,449,432,562,579,545,527,562,922,1427,1221,,
Total Liabilities,3552,3652,3531,4035,4019,4465,4957,5778,7077,7287,,
Fixed Assets,2839,2819,2753,3019,3080,3413,3854,4406,5210,5693,,
CWIP,21,22,34,88,36,32,98,37,183,132,,
Investments,0,4,5,5,4,6,7,10,108,29,,
Other Assets,692,807,738,924,899,1013,999,1325,1575,1432,,
Total Assets,3552,3652,3531,4035,4019,4465,4957,5778,7077,7287,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,201,249,366,252,60,62,477,689,950,1067,,
Cash from Investing Activity,329,-118,147,-391,-50,-396,-591,-620,-1355,-575,,
Cash from Financing Activity,-463,-157,-523,133,-34,411,126,-108,496,-466,,
Net Cash Flow,67,-26,-10,-6,-24,77,12,-38,91,25,,
Free Cash Flow,87,188,330,163,13,23,305,262,-14,729,,
CFO/OP,184,107,117,83,191,59,105,127,141,102,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,15,25,18,16,39,31,19,14,17,9,,
Inventory Days,—,2283,1305,1871,6659,3030,1605,1973,2064,199,,
Days Payable,—,629,401,455,1267,602,549,716,535,122,,
Cash Conversion Cycle,15,1679,921,1432,5431,2460,1075,1271,1545,86,,
Working Capital Days,-138,-113,-77,-58,-270,-184,-152,-292,-275,-93,,
ROCE %,6,6,8,8,-3,0,9,10,11,17,,
