Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,836,758,863,908,927,996,1037,1040,1036,1017,1173,1475
Expenses,764,677,791,820,864,916,945,939,933,897,1060,1365
Operating Profit,73,80,72,88,63,81,92,101,102,120,113,110
OPM %,9,11,8,10,7,8,9,10,10,12,10,7
Other Income,14,15,25,7,40,29,36,30,26,12,9,48
Interest,11,13,12,13,12,13,6,6,8,7,4,11
Depreciation,9,9,12,7,7,8,8,9,9,10,11,14
Profit before tax,67,74,72,75,85,89,115,116,111,115,106,131
Tax %,12,17,4,9,15,12,17,20,14,15,13,19
Net Profit,59,61,69,68,72,78,95,93,96,97,92,106
EPS in Rs,8.38,8.73,9.99,9.75,10.43,10.56,12.89,12.64,13.01,13.23,12.45,14.41
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1017,1242,1348,1410,2216,2801,3161,3869,4265,4700,,
Expenses,926,1180,1239,1288,1998,2594,2873,3541,3830,4256,,
Operating Profit,92,62,109,121,217,207,287,328,435,444,,
OPM %,9,5,8,9,10,7,9,8,10,9,,
Other Income,2,5,-12,1,6,88,76,111,77,94,,
Interest,20,26,31,31,38,44,52,46,25,30,,
Depreciation,9,12,18,20,21,24,38,29,39,45,,
Profit before tax,64,30,47,71,165,228,274,363,448,464,,
Tax %,26,34,22,20,10,10,12,14,16,—,,
Net Profit,48,19,37,57,148,204,242,313,378,392,,
EPS in Rs,6.42,2.25,4.81,7.6,20.19,29.13,34.65,42.32,51.32,53.1,,
Dividend Payout %,11,13,15,14,15,15,15,15,12,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,14,14,14,14,14,14,14,14,15,15,,
Reserves,136,176,186,211,255,373,575,824,2055,2437,,
Borrowings,166,233,250,279,261,392,348,548,286,736,,
Other Liabilities,39,70,123,110,196,219,268,217,159,229,,
Total Liabilities,355,492,573,614,726,998,1205,1602,2515,3417,,
Fixed Assets,68,109,137,182,172,191,273,348,436,939,,
CWIP,32,24,46,15,13,42,46,43,39,48,,
Investments,0,0,0,0,0,0,1,16,528,413,,
Other Assets,255,359,390,418,540,764,885,1194,1512,2017,,
Total Assets,355,492,573,614,726,998,1205,1602,2515,3417,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,1,-3,89,34,77,10,200,42,282,169,,
Cash from Investing Activity,-49,-42,-66,-14,-19,-69,-105,-158,-864,-364,,
Cash from Financing Activity,49,40,-17,-21,-57,72,-87,121,640,178,,
Net Cash Flow,2,-4,6,-2,1,12,7,5,59,-17,,
Free Cash Flow,-46,-42,21,19,55,-61,93,-56,175,-46,,
CFO/OP,6,9,164,41,73,11,108,32,101,54,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,34,41,28,18,15,18,18,31,26,37,,
Inventory Days,77,72,64,75,115,107,95,96,71,109,,
Days Payable,10,21,35,29,44,7,14,10,5,7,,
Cash Conversion Cycle,101,91,58,65,87,119,99,117,92,139,,
Working Capital Days,24,18,4,16,32,40,43,66,78,115,,
ROCE %,20,23,13,19,21,31,32,28,22,17,,
