Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,226.06%,298.86%,189.58%
,ebitda margin growth,-16.75%,-1.14%,7.3%,76.29%
,net income growth,-28.41%,17.76%,22%,25%
,revenue growth,-5.33%,21.79%,15%,19%
,roce,-19.04%,14.36%,-5.74%,16.02%
,roe,-28.45%,0.71%,15.87%,90.01%
