Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,9.14%,0.53%,28.64%
,ebitda margin growth,-27.82%,-14.35%,-14.41%,-5.91%
,net income growth,-34.8%,-30.25%,1%,1%
,revenue growth,-20.45%,-11.03%,7%,11%
,roce,-31.34%,-37.59%,-37.29%,23.16%
,roe,-34.78%,-37.27%,17.85%,-18.92%
