Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,37339,33513,38471,35779,37449,38764,40920,38605,42344,49904,52462,52470
Expenses,32028,29073,33250,30673,32450,33688,36076,33983,37258,44331,46304,48156
Operating Profit,5312,4440,5221,5107,4999,5076,4844,4623,5086,5573,6158,4313
OPM %,14,13,14,14,13,13,12,12,12,11,12,8
Other Income,958,1053,1261,1118,1570,1125,1583,1924,1014,1140,581,1972
Interest,35,36,76,57,43,46,48,47,57,62,73,64
Depreciation,1342,1302,1298,1332,1386,1429,1462,1556,1703,1735,1748,1780
Profit before tax,4892,4156,5108,4836,5141,4726,4918,4944,4339,4917,4918,4441
Tax %,23,23,23,22,40,21,20,23,23,21,26,22
Net Profit,3786,3207,3952,3760,3102,3727,3911,3792,3349,3879,3659,3447
EPS in Rs,125.34,102,125.71,119.58,98.68,118.54,124.4,120.62,106.52,123.38,116.38,109.63
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,79809,86068,75660,70372,88330,118410,141858,152913,183316,197181,,
Expenses,67692,75012,68305,64961,82578,105288,123232,132689,161786,176050,,
Operating Profit,12118,11056,7355,5411,5752,13122,18626,20224,21530,21131,,
OPM %,15,13,10,8,7,11,13,13,12,11,,
Other Income,2155,2664,3410,3046,1861,2415,4248,5199,4569,4707,,
Interest,346,76,134,102,127,252,194,194,239,255,,
Depreciation,2760,3021,3528,3034,2789,4846,5256,5608,6742,6966,,
Profit before tax,11167,10624,7103,5321,4697,10438,17424,19620,19118,18616,,
Tax %,29,28,20,18,17,21,23,26,23,—,,
Net Profit,7881,7651,5678,4389,3880,8264,13488,14500,14680,14334,,
EPS in Rs,260.86,253.21,187.9,145.3,128.43,273.56,429.01,461.2,466.9,455.91,,
Dividend Payout %,31,32,32,31,47,34,29,29,30,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,151,151,151,151,151,151,157,157,157,157,,
Reserves,36924,42408,46941,49262,52350,55182,74443,85479,96083,106999,,
Borrowings,484,121,160,184,541,426,1248,119,87,102,,
Other Liabilities,14402,17568,16717,14031,18335,18896,24258,29550,34689,41622,,
Total Liabilities,51960,60248,63969,63628,71376,74656,100106,115304,131016,148880,,
Fixed Assets,13311,13389,15437,15744,14989,13747,27941,27865,32983,34523,,
CWIP,1252,2132,1607,1415,1497,2936,4143,7735,7929,9838,,
Investments,29151,36123,37504,37488,42945,42035,49184,57296,66265,76838,,
Other Assets,8247,8604,9421,8980,11946,15937,18837,22408,23839,27680,,
Total Assets,51960,60248,63969,63628,71376,74656,100106,115304,131016,148880,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,10282,11788,6601,3496,8856,1840,10815,16801,16180,19100,,
Cash from Investing Activity,-9173,-8302,-3540,-557,-7291,-239,-8820,-11865,-14500,-14734,,
Cash from Financing Activity,-1129,-3436,-2948,-3104,-1545,-1607,-1214,-4062,-4155,-4484,,
Net Cash Flow,-20,50,113,-165,20,-6,780,874,-2475,-118,,
Free Cash Flow,6907,7903,1899,96,6528,-1483,2858,7646,5601,8754,,
CFO/OP,121,122,88,67,182,52,100,110,99,109,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,6,7,10,10,7,8,10,12,16,11,,
Inventory Days,25,21,20,22,22,20,23,19,23,31,,
Days Payable,65,70,59,51,73,54,58,62,57,61,,
Cash Conversion Cycle,-33,-42,-29,-20,-44,-26,-25,-31,-18,-19,,
Working Capital Days,-36,-40,-30,-20,-50,-30,-30,-26,-24,-29,,
ROCE %,24,24,19,9,11,6,16,22,22,19,,
