Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-68.79%,-34.43%,0.59%
,ebitda margin growth,-15.72%,4.2%,13.65%,39.7%
,net income growth,-26.16%,8.92%,32%,19%
,revenue growth,4.49%,17.64%,16%,12%
,roce,-17.96%,-12.51%,-5.82%,17.99%
,roe,-26.16%,-2.97%,17.28%,39.15%
