Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-11.36%,26.36%,1.99%
,ebitda margin growth,-22.94%,-11.38%,-27.17%,-48.64%
,net income growth,-29.78%,-9.89%,-3%,5%
,revenue growth,9.62%,8.38%,5%,27%
,roce,-30.63%,-15.78%,-34.86%,22.21%
,roe,-29.77%,-16.83%,16.68%,-32.37%
