Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2753,2935,3106,2808,2560,2930,3581,3353,3019,3463,3888,4032
Expenses,2286,2310,2546,2321,2276,2438,2816,2665,2573,2906,3205,3384
Operating Profit,467,625,560,486,284,492,765,688,447,557,682,648
OPM %,17,21,18,17,11,17,21,21,15,16,18,16
Other Income,29,38,55,45,140,45,46,56,51,-2,41,39
Interest,115,114,115,110,123,112,113,109,105,113,98,114
Depreciation,141,140,153,147,146,146,162,146,149,175,182,167
Profit before tax,241,409,347,273,155,279,535,489,243,268,444,406
Tax %,27,31,37,32,12,32,32,34,34,35,25,32
Net Profit,176,284,220,185,136,190,361,324,159,174,331,275
EPS in Rs,22.69,36.73,28.44,23.98,16.28,24.54,46.64,41.99,20.78,22.6,43.08,35.91
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,4854,5259,5802,6606,7991,9720,11556,11879,13722,14401,,
Expenses,4064,4420,4556,5022,6478,8393,9485,9845,11344,12067,,
Operating Profit,789,839,1246,1585,1513,1327,2071,2034,2379,2334,,
OPM %,16,16,21,24,19,14,18,17,17,16,,
Other Income,110,76,53,67,112,75,129,269,142,130,,
Interest,284,261,276,253,270,312,453,459,424,430,,
Depreciation,231,241,288,306,342,462,573,601,653,673,,
Profit before tax,383,412,734,1093,1013,628,1174,1242,1444,1361,,
Tax %,25,36,34,36,33,34,33,30,32,—,,
Net Profit,286,264,483,703,679,416,790,872,988,938,,
EPS in Rs,41.41,34.99,64.25,91.85,88.93,54.82,102.35,111.45,128.45,122.37,,
Dividend Payout %,24,29,12,16,17,27,20,13,16,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,70,70,77,77,77,77,77,77,77,77,,
Reserves,1641,1905,2625,2950,3659,4248,4607,5290,6012,6960,,
Borrowings,3317,2941,2973,3503,3626,4115,5292,5552,6028,6183,,
Other Liabilities,1383,1541,1737,2011,2509,2963,3331,3883,4564,5280,,
Total Liabilities,6411,6456,7413,8542,9872,11403,13307,14802,16682,18500,,
Fixed Assets,4542,4443,4537,5554,5937,6544,8467,9298,9519,11586,,
CWIP,127,104,574,530,509,1032,592,464,1317,1055,,
Investments,80,119,438,46,142,216,92,377,601,447,,
Other Assets,1662,1789,1863,2412,3283,3612,4155,4662,5244,5412,,
Total Assets,6411,6456,7413,8542,9872,11403,13307,14802,16682,18500,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,772,883,704,1367,1593,878,1377,1959,1939,1873,,
Cash from Investing Activity,-668,-79,-825,-1483,-1348,-984,-1964,-1626,-1890,-1667,,
Cash from Financing Activity,-346,-723,173,-108,-137,62,741,-416,74,-385,,
Net Cash Flow,-242,81,52,-225,108,-44,154,-83,123,-178,,
Free Cash Flow,388,739,73,124,834,-649,-226,792,241,-376,,
CFO/OP,115,125,96,122,113,72,116,102,105,88,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,18,18,18,17,20,20,18,18,24,20,,
Inventory Days,292,269,257,289,257,343,223,235,213,249,,
Days Payable,222,303,179,206,204,203,188,175,199,198,,
Cash Conversion Cycle,88,-17,96,100,73,159,53,78,38,71,,
Working Capital Days,-27,-21,-29,-14,-5,15,-4,-1,-23,-22,,
ROCE %,12,14,13,17,20,17,10,16,14,15,,
