Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,582,683,643,486,541,576,602,490,549,609,768,532
Expenses,445,514,467,380,435,458,417,376,419,466,600,418
Operating Profit,138,169,176,106,106,117,186,114,130,142,168,115
OPM %,24,25,27,22,20,20,31,23,24,23,22,22
Other Income,28,19,27,25,22,44,27,24,35,30,35,33
Interest,1,2,0,1,2,1,1,1,1,1,1,1
Depreciation,14,15,16,14,15,16,17,15,17,17,16,17
Profit before tax,150,171,187,115,111,144,195,122,146,154,186,131
Tax %,27,25,27,21,26,24,27,25,25,25,25,25
Net Profit,110,129,137,90,82,109,141,91,109,115,139,98
EPS in Rs,2.1,2.5,2.62,1.64,1.52,2.08,2.76,1.67,2.04,2.12,2.7,1.81
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1497,2047,2474,1905,2662,2628,2453,2196,2415,2458,,
Expenses,1071,1469,1811,1353,1933,1869,1792,1653,1832,1903,,
Operating Profit,427,578,663,552,729,759,661,543,583,555,,
OPM %,28,28,27,29,27,29,27,25,24,23,,
Other Income,154,200,268,101,84,103,92,118,123,132,,
Interest,25,10,10,9,13,21,21,34,33,3,,
Depreciation,36,38,47,52,66,67,61,62,66,67,,
Profit before tax,519,730,874,593,735,774,670,565,608,617,,
Tax %,31,33,28,25,27,26,26,25,25,—,,
Net Profit,357,490,633,444,539,571,495,424,454,461,,
EPS in Rs,6.85,9.39,12.32,9,10.74,11.28,9.48,8.01,8.54,8.67,,
Dividend Payout %,32,54,65,72,79,91,95,94,85,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,200,200,200,250,240,240,240,240,481,481,,
Reserves,1838,2014,2222,2383,2152,2248,2363,2369,2160,2201,,
Borrowings,83,55,48,47,37,28,5,8,9,7,,
Other Liabilities,2678,2901,2956,3222,3408,3326,3381,3047,3472,3242,,
Total Liabilities,4799,5170,5426,5903,5837,5842,5991,5664,6121,5930,,
Fixed Assets,406,402,478,590,584,560,552,535,884,867,,
CWIP,5,2,4,4,15,58,101,174,48,89,,
Investments,328,133,141,261,289,205,130,109,117,104,,
Other Assets,4060,4633,4803,5047,4948,5020,5208,4846,5072,4870,,
Total Assets,4799,5170,5426,5903,5837,5842,5991,5664,6121,5930,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,555,410,164,319,516,310,560,432,637,327,,
Cash from Investing Activity,-56,-454,139,49,194,62,163,-315,-205,-35,,
Cash from Financing Activity,-215,-217,-279,-420,-708,-376,-483,-504,-405,-424,,
Net Cash Flow,284,-261,24,-52,2,-5,239,-387,27,-131,,
Free Cash Flow,540,348,12,207,436,168,424,295,505,266,,
CFO/OP,208,138,70,80,112,68,98,99,148,75,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,125,114,109,124,112,101,126,134,123,141,,
Inventory Days,—,22,302,11,—,81,96,—,—,63,,
Days Payable,—,184,572,144,—,105,589,—,—,520,,
Cash Conversion Cycle,125,-47,-161,-9,112,77,-367,134,123,-317,,
Working Capital Days,-449,-454,-297,-240,-335,-234,-219,-203,-282,-173,,
ROCE %,21,24,30,33,23,29,30,25,22,23,,
