Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-47.83%,-51.17%,204.74%
,ebitda margin growth,19.33%,-9.63%,1.98%,7.97%
,net income growth,27.83%,-18.61%,13%,-2%
,revenue growth,25.15%,1.52%,6%,6%
,roce,26.34%,-22.53%,16.71%,10.6%
,roe,27.8%,-21.89%,7.34%,-56.2%
