Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,139.08%,-6.13%,-34.51%
,ebitda margin growth,-55.84%,-18.95%,-30.19%,-22.24%
,net income growth,-72.31%,2.1%,10%,-4%
,revenue growth,2.01%,13.93%,10%,5%
,roce,-65.23%,-31.12%,8.72%,18.27%
,roe,-72.33%,-26.78%,12.35%,-37.17%
