Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-69.8%,7.25%,5.91%
,ebitda margin growth,-25.41%,35.45%,3.13%,-3.5%
,net income growth,-29.96%,0.98%,4%,13%
,revenue growth,-9.89%,-16.47%,10%,17%
,roce,-31.09%,-4.94%,1.27%,16.41%
,roe,-30.02%,-5.52%,12.82%,2.18%
