Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1922,2541,2319,2316,2509,3096,2470,2907,3170,3055,3011,3426
Expenses,1575,1999,1781,1842,2025,2499,1945,2283,2475,2420,2369,2810
Operating Profit,346,543,539,473,484,598,525,624,695,634,642,616
OPM %,18,21,23,20,19,19,21,21,22,21,21,18
Other Income,128,153,186,171,157,168,217,212,181,46,263,227
Interest,7,6,6,5,3,3,5,3,3,5,2,4
Depreciation,38,42,42,44,45,49,46,48,49,50,51,53
Profit before tax,429,647,676,595,594,714,690,785,824,626,852,787
Tax %,23,23,20,22,24,22,23,23,24,22,24,23
Net Profit,329,499,539,463,449,558,530,604,622,486,649,609
EPS in Rs,11.87,18,19.44,16.69,16.21,20.15,19.1,21.79,22.45,17.53,23.43,21.98
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,5112,5697,5191,4360,6171,7772,9000,10391,12143,12662,,
Expenses,4374,4828,4598,3757,5288,6524,7231,8311,9548,10075,,
Operating Profit,738,869,593,603,883,1248,1770,2080,2595,2588,,
OPM %,14,15,11,14,14,16,20,20,21,20,,
Other Income,298,328,356,366,472,502,622,714,702,717,,
Interest,15,17,21,17,12,16,27,16,12,14,,
Depreciation,94,111,121,127,136,142,159,185,199,203,,
Profit before tax,927,1069,807,825,1207,1591,2205,2593,3086,3088,,
Tax %,23,31,13,23,23,23,22,23,23,—,,
Net Profit,712,743,706,635,934,1228,1721,2000,2362,2367,,
EPS in Rs,25.68,26.79,25.45,22.91,33.68,44.31,62.07,72.15,85.2,85.39,,
Dividend Payout %,58,63,55,65,55,56,61,71,77,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,55,55,55,55,55,55,55,55,55,55,,
Reserves,3816,4063,4228,4347,4596,5090,5703,6557,7506,8420,,
Borrowings,252,257,313,512,40,418,376,127,30,37,,
Other Liabilities,1091,1339,1465,1282,1265,1549,1784,2231,2577,2793,,
Total Liabilities,5214,5715,6060,6196,5956,7112,7919,8971,10168,11304,,
Fixed Assets,1502,2021,2015,2270,2189,2209,2226,2302,2364,2383,,
CWIP,463,39,159,80,128,61,41,97,85,98,,
Investments,862,708,468,1038,599,892,1457,1642,1482,2153,,
Other Assets,2387,2947,3418,2809,3041,3951,4194,4930,6238,6670,,
Total Assets,5214,5715,6060,6196,5956,7112,7919,8971,10168,11304,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,748,632,553,601,789,712,820,1285,1683,1734,,
Cash from Investing Activity,-483,-134,15,-202,25,-574,87,-248,-578,26,,
Cash from Financing Activity,-226,-470,-525,-412,-873,-82,-687,-1134,-1168,-1495,,
Net Cash Flow,39,28,43,-14,-60,56,219,-97,-63,265,,
Free Cash Flow,516,540,279,364,675,782,665,1003,1465,1487,,
CFO/OP,116,110,91,129,145,109,94,101,109,91,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,69,96,82,81,91,74,75,85,80,83,,
Inventory Days,63,61,64,62,75,66,63,60,56,56,,
Days Payable,68,85,83,75,97,89,81,89,87,79,,
Cash Conversion Cycle,65,71,63,68,69,51,58,56,49,60,,
Working Capital Days,49,57,59,40,72,39,36,48,46,53,,
ROCE %,22,21,24,18,17,21,27,35,36,40,,
