Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2869,3002,2783,2761,2844,3433,2946,3021,3173,3691,3054,2708
Expenses,2401,2516,2449,2049,2344,2868,2437,2383,2514,3077,2461,2279
Operating Profit,468,486,334,712,500,565,509,638,659,614,593,429
OPM %,16,16,12,26,18,16,17,21,21,17,19,16
Other Income,71,52,80,35,54,7,136,58,51,28,226,218
Interest,27,16,29,22,25,20,22,49,21,19,69,30
Depreciation,66,63,73,72,69,72,70,76,65,80,76,72
Profit before tax,446,459,312,653,460,480,553,571,624,543,674,545
Tax %,24,24,23,26,26,30,24,27,26,23,20,15
Net Profit,339,350,241,485,341,335,421,417,464,418,539,463
EPS in Rs,4.66,4.81,3.31,6.67,4.69,4.61,5.79,5.73,6.38,5.75,7.41,6.37
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,8591,9341,9325,8131,9712,10612,11321,12069,12467,12626,,
Expenses,7381,7947,7754,7080,8117,9195,9321,9833,10188,10331,,
Operating Profit,1209,1394,1571,1051,1595,1417,2000,2236,2279,2295,,
OPM %,14,15,17,13,16,13,18,19,18,18,,
Other Income,172,70,87,-25,-117,249,208,271,516,523,,
Interest,278,237,212,188,88,104,76,89,158,139,,
Depreciation,192,215,285,299,304,283,275,283,289,293,,
Profit before tax,912,1012,1160,540,1087,1279,1857,2135,2348,2386,,
Tax %,28,32,47,33,25,12,24,26,22,—,,
Net Profit,652,684,621,362,811,1126,1408,1582,1838,1884,,
EPS in Rs,8.72,9.64,9.07,5.28,11.4,15.63,19.36,21.75,25.27,25.91,,
Dividend Payout %,0,0,0,0,0,0,46,55,67,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,145,145,145,145,145,145,145,145,145,145,,
Reserves,1640,2274,2945,3583,3974,4808,5854,6976,7959,8808,,
Borrowings,4144,3421,2883,2570,1037,605,183,265,480,413,,
Other Liabilities,2967,3086,3135,2546,3354,3304,3534,3790,4592,5085,,
Total Liabilities,8896,8926,9109,8844,8511,8863,9716,11176,13176,14451,,
Fixed Assets,1917,1791,1841,1956,1893,1855,1534,1560,1712,1404,,
CWIP,199,102,118,121,97,96,83,37,72,77,,
Investments,0,0,25,22,0,222,286,645,923,1171,,
Other Assets,6780,7033,7124,6745,6521,6690,7813,8934,10469,11799,,
Total Assets,8896,8926,9109,8844,8511,8863,9716,11176,13176,14451,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,647,925,948,783,1818,977,615,1118,1947,1459,,
Cash from Investing Activity,-227,104,-66,-194,-99,-313,-55,226,-1114,-478,,
Cash from Financing Activity,-475,-966,-808,-740,-1707,-688,-500,-407,-557,-1450,,
Net Cash Flow,-56,63,74,-150,12,-23,60,937,276,-469,,
Free Cash Flow,389,895,872,583,1679,882,505,1039,1786,1531,,
CFO/OP,85,111,128,87,183,90,62,73,94,79,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,122,115,99,89,98,89,84,99,103,106,,
Inventory Days,226,263,235,199,254,229,193,186,197,216,,
Days Payable,144,195,171,124,176,168,154,176,191,193,,
Cash Conversion Cycle,205,183,163,165,177,150,122,108,109,129,,
Working Capital Days,-22,-12,-8,-8,17,39,51,52,48,56,,
ROCE %,15,18,20,21,14,25,20,28,26,26,,
