Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,99,282,694,401,749,828,520,866,338,284,1107,552
Expenses,129,289,674,402,761,814,477,832,413,348,1051,597
Operating Profit,-30,-7,20,-1,-12,13,44,33,-74,-63,56,-45
OPM %,-31,-2.5,2.9,-0.4,-1.6,1.6,8,3.8,-22,-22,5,-8
Other Income,23,20,28,27,28,34,50,33,34,28,1355,60
Interest,11,5,8,7,17,14,13,13,13,17,17,29
Depreciation,5,6,6,5,7,8,8,8,8,8,9,7
Profit before tax,-24,2,35,13,-7,26,73,46,-62,-60,1386,-21
Tax %,-16,-6,-19,49,-158,-11,16,25,-24,-24,17,-21
Net Profit,-20,2,41,7,4,29,61,34,-47,-45,1152,-17
EPS in Rs,-1.42,0.15,2.93,0.48,0.29,2.07,4.35,2.45,-3.33,-3.23,82.02,-1.17
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,242,82,901,1554,1241,2498,2596,2282,,,,
Expenses,278,163,986,1547,1268,2454,2644,2408,,,,
Operating Profit,-37,-81,-84,6,-28,44,-48,-126,,,,
OPM %,-15,-99,-9,0.4,-2.2,1.8,-1.9,-6,,,,
Other Income,22,67,38,32,84,140,1450,1477,,,,
Interest,55,71,70,73,30,52,60,77,,,,
Depreciation,5,12,21,22,22,27,32,31,,,,
Profit before tax,-74,-97,-136,-57,4,105,1310,1243,,,,
Tax %,-24,-11,-15,12,-265,4,16,—,,,,
Net Profit,-57,-86,-116,-64,16,101,1095,1044,,,,
EPS in Rs,-101.43,-151.23,-10.23,-5.12,1.15,7.19,77.9,74.29,,,,
Dividend Payout %,0,0,0,0,0,0,0,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,6,6,11,12,14,14,14,,,,,
Reserves,-99,-213,-364,35,613,713,1836,,,,,
Borrowings,981,1186,1170,1724,1933,2394,2979,,,,,
Other Liabilities,2043,2784,3632,4250,5914,9746,12427,,,,,
Total Liabilities,2931,3763,4449,6022,8474,12866,17255,,,,,
Fixed Assets,69,104,169,136,104,146,116,,,,,
CWIP,2,0,0,0,15,0,0,,,,,
Investments,109,57,5,0,0,0,1294,,,,,
Other Assets,2751,3603,4276,5885,8356,12720,15846,,,,,
Total Assets,2931,3763,4449,6022,8474,12866,17255,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,73,36,205,-278,92,501,126,,,,,
Cash from Investing Activity,-72,-26,54,8,-488,46,478,,,,,
Cash from Financing Activity,8,97,-269,673,368,141,417,,,,,
Net Cash Flow,9,107,-10,403,-28,687,1021,,,,,
Free Cash Flow,58,-16,116,-294,64,462,113,,,,,
CFO/OP,-269,-36,-247,-4177,-549,1324,-423,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,46,66,2,7,10,9,9,,,,,
Cash Conversion Cycle,46,66,2,7,10,9,9,,,,,
Working Capital Days,26,505,-45,92,233,51,-88,,,,,
ROCE %,—,-2,-7,1,1,5,3,,,,,
