Item,Indicator,Value,Signal
,SMA (10),3013.26,Buy
,EMA (10),3038.2,Buy
,SMA (20),3105.6,Sell
,EMA (20),3069.33,Sell
,SMA (50),3117.82,Sell
,EMA (50),3119.9,Sell
,SMA (100),3206.31,Sell
,EMA (100),3120.58,Sell
,SMA (200),—,Neutral
,EMA (200),—,Neutral
,Indicator,Value,Signal
,---,---,---
,RSI (14),45.49,Neutral
,"MACD (12,26,9)",-37.51,Sell
,"Stochastic (14,3,3)",24.98,Neutral
,ADX (14),16.83,Neutral
,Williams %R (14),-70.89,Neutral
,ATR (14),75.75,Neutral
,ROC (12),-5.63,Sell
,Stoch RSI (14),32.49,Neutral
,"UO (7,14,28)",59.85,Neutral
