Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,2227,2143,2205,2207,2422,2017,2107,2400,2251,2158,1358,1652
Expenses,448,478,511,471,4852,389,603,724,528,260,3255,1
Financing Profit,429,353,402,426,-3668,434,455,480,436,440,-3576,315
Financing Margin %,19,16,18,19,-151,22,22,20,19,20,-263,19
Other Income,15,69,50,30,3,3,25,9,10,0,-6496,31
Interest,1350,1312,1291,1309,1238,1194,1050,1196,1286,1458,1679,1335
Depreciation,23,23,21,19,20,20,25,21,21,21,25,20
Profit before tax,422,399,431,437,-3685,417,455,468,425,419,-10097,326
Tax %,29,24,26,25,-25,28,29,29,27,25,-20,25
Net Profit,298,303,319,327,-2761,302,324,334,308,314,-8101,243
EPS in Rs,4.14,4.1,4.32,4.42,-38.12,4.08,3.91,4.04,3.72,3.79,-69.92,2.09
Gross NPA %,2.88,2.85,2.69,2.68,2.37,—,1.3,1.5,1.4,—,—,—
Net NPA %,1.66,1.71,1.52,1.52,1.4,—,0.8,0.8,0.8,—,—,0.15
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,14952,17020,13219,9998,8988,8719,8579,8676,8166,7418,,
Expenses,2033,1654,2040,1429,1119,1400,1582,6179,4769,4045,,
Financing Profit,4909,5640,2667,1630,1628,1683,1690,-2295,-2221,-2385,,
Financing Margin %,33,33,20,16,18,19,20,-26,-27,-32,,
Other Income,6,6,2,29,6,8,41,2,-6475,-6454,,
Interest,8010,9726,8512,6939,6242,5636,5307,4791,5618,5757,,
Depreciation,37,43,108,97,77,86,85,83,88,88,,
Profit before tax,4878,5604,2561,1562,1556,1606,1646,-2376,-8784,-8927,,
Tax %,21,28,15,23,24,30,26,-24,-19,—,,
Net Profit,3895,4091,2200,1202,1178,1130,1214,-1807,-7145,-7236,,
EPS in Rs,60.88,63.8,34.3,17.33,16.76,15.97,16.44,-21.82,-61.66,-60.32,,
Dividend Payout %,45,42,59,33,0,5,9,-9,0,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,85,85,85,84,89,89,90,113,163,229,,
Reserves,12038,14273,16397,15454,16045,16585,17272,19679,21660,18763,,
Borrowing,85301,111056,105756,79674,68805,61359,52403,48493,42726,51853,,
Other Liabilities,6274,7188,7866,7660,8299,3940,5180,4774,5633,3399,,
Total Liabilities,103697,132603,130104,102872,93238,81973,74945,73060,70181,74243,,
Fixed Assets,169,169,214,450,295,327,433,325,391,341,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,13617,14792,19717,12277,6146,5546,5370,7456,14219,17518,,
Other Assets,89912,117642,110173,90145,86796,76100,69142,65278,55571,56385,,
Total Assets,103697,132603,130104,102872,93238,81973,74945,73060,70181,74243,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-17845,-25024,21206,19331,7088,657,4001,140,8772,-7466,,
Cash from Investing Activity,-2107,368,-4220,8265,3103,1649,884,1042,-5578,-1540,,
Cash from Financing Activity,22591,23775,-7335,-27934,-10632,-7444,-9142,-2383,-2373,14684,,
Net Cash Flow,2638,-881,9650,-338,-440,-5138,-4257,-1201,821,5678,,
Free Cash Flow,-17970,-25004,21117,19297,7060,638,3957,85,8727,-7505,,
CFO/OP,-167,-185,147,177,83,16,63,2,351,-213,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,25,29,27,14,8,7,7,7,-9,-3,,
