Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,115.29%,110.35%,252.74%
,ebitda margin growth,5.02%,-0.51%,-5.04%,9.06%
,net income growth,24.23%,2.67%,14%,14%
,revenue growth,-0.78%,5.66%,15%,11%
,roce,5.02%,1.69%,1.37%,9.26%
,roe,24.23%,-5.43%,19.95%,-1.99%
