Item,Metric,QoQ,1Y,3Y
,cash flow growth,—,-818.49%,—
,ebitda margin growth,20.13%,—,143.08%
,net income growth,20.19%,-65.56%,6%
,revenue growth,4.92%,32.3%,30%
,roce,-17.12%,-71.88%,93.41%
,roe,-20.14%,-88.65%,-106.11%
