Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,181,167,184,163,208,318,340,355,165,192,235,293
Expenses,119,112,131,119,139,194,200,234,111,146,163,195
Operating Profit,63,55,53,44,69,124,140,121,55,47,71,98
OPM %,35,33,29,27,33,39,41,34,33,24,30,33
Other Income,8,-3,9,9,12,13,12,8,24,13,23,15
Interest,0,0,0,0,0,0,0,1,5,0,1,1
Depreciation,6,8,8,3,5,5,5,6,6,6,6,7
Profit before tax,64,44,54,49,77,132,147,123,69,54,87,106
Tax %,26,27,27,24,24,25,25,26,24,25,26,26
Net Profit,48,32,40,38,58,99,110,91,52,40,64,78
EPS in Rs,2.76,1.85,2.29,2.18,3.36,5.71,6.35,5.26,3.01,2.32,3.71,4.51
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,,
---,---,---,---,---,---,---,---,---,,,,
Sales,538,499,683,721,712,1030,947,886,,,,
Expenses,325,292,434,502,481,652,653,614,,,,
Operating Profit,214,207,249,219,231,378,294,271,,,,
OPM %,40,41,36,30,32,37,31,31,,,,
Other Income,6,9,19,24,18,46,69,76,,,,
Interest,7,5,3,1,0,0,6,6,,,,
Depreciation,18,20,22,25,28,18,24,25,,,,
Profit before tax,194,190,243,217,220,406,333,316,,,,
Tax %,25,26,25,26,26,25,25,—,,,,
Net Profit,145,142,182,160,164,305,248,235,,,,
EPS in Rs,24118.33,1428.77,10.47,9.23,9.44,17.59,14.29,13.55,,,,
Dividend Payout %,0,0,0,0,11,7,8,—,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Equity Capital,0.6,10,35,35,35,35,35,,,,,
Reserves,198,330,487,647,811,1098,1325,,,,,
Borrowings,74,52,19,5,3,21,44,,,,,
Other Liabilities,92,142,173,176,211,263,238,,,,,
Total Liabilities,364,534,713,862,1059,1418,1641,,,,,
Fixed Assets,107,139,156,151,172,300,316,,,,,
CWIP,2,3,3,30,147,89,301,,,,,
Investments,26,37,94,189,250,187,252,,,,,
Other Assets,229,355,460,491,489,841,771,,,,,
Total Assets,364,534,713,862,1059,1418,1641,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Cash from Operating Activity,122,137,146,142,241,46,334,,,,,
Cash from Investing Activity,-45,-61,-76,-147,-264,-35,-276,,,,,
Cash from Financing Activity,-72,-21,-56,-4,-2,-19,-31,,,,,
Net Cash Flow,5,55,14,-10,-24,-8,28,,,,,
Free Cash Flow,106,85,125,83,68,-34,115,,,,,
CFO/OP,80,66,70,92,109,36,151,,,,,
Item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,,
---,---,---,---,---,---,---,---,,,,,
Debtor Days,80,105,121,121,91,124,131,,,,,
Inventory Days,120,253,133,137,151,209,157,,,,,
Days Payable,90,128,72,58,35,70,48,,,,,
Cash Conversion Cycle,110,231,183,199,206,262,240,,,,,
Working Capital Days,55,89,103,120,92,157,136,,,,,
ROCE %,—,58,53,35,30,40,26,,,,,
