Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-83.5%,-87.87%,116.91%
,ebitda margin growth,386.9%,-46.29%,151.32%,-46.46%
,net income growth,262.86%,-62.66%,-8%,51%
,revenue growth,7.81%,0.9%,-4%,8%
,roce,-303.74%,-55.05%,-75.18%,10.52%
,roe,-262.86%,-62.61%,8.35%,-71.37%
