Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-28.48%,-10.62%,19.41%
,ebitda margin growth,180.17%,-21.96%,-20.18%,-47.64%
,net income growth,215.29%,-39.17%,10%,4%
,revenue growth,13.16%,-0.04%,-1%,20%
,roce,195.43%,-40.04%,-29.41%,13.07%
,roe,215.3%,-41.93%,11.98%,-55.62%
