Item,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,35.24%,35.24%,35.17%,35.15%,34.94%,34.7%,34.61%,34.53%
FIIs,7.64%,11.72%,12.36%,14.58%,22.5%,21.4%,21.17%,19.65%
DIIs,5.61%,11.95%,13.26%,21.64%,29.91%,31.41%,31.54%,32.71%
Government,0%,0%,0%,0%,0%,0%,0%,0%
Public,18.68%,8.88%,7.69%,6.56%,7.91%,5.95%,6.13%,6.78%
Others,32.84%,32.22%,31.52%,22.07%,4.74%,6.54%,6.56%,6.33%
No. of Shareholders,572970,82,140677,126380,119705,114820,117527,125096
