Item,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,73.01%,73.01%,66.46%,66.46%,66.46%
FIIs,6.78%,7.67%,8.9%,8.87%,9.4%
DIIs,7.12%,3.99%,9.28%,10.16%,10.01%
Government,0%,0%,0%,0%,0%
Public,9.82%,11.56%,11.39%,10.62%,10.61%
Others,3.26%,3.77%,3.98%,3.9%,3.53%
No. of Shareholders,223147,214067,214976,201261,215956
