Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,101.72%,-10.55%,317.23%
,ebitda margin growth,-44.28%,12.24%,-9.57%,38.14%
,net income growth,-75.22%,50.1%,44%,24%
,revenue growth,-6.29%,10.91%,4%,12%
,roce,-59.47%,2.05%,-29.41%,14.05%
,roe,-75.22%,23.48%,13.58%,87.94%
