Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-20.39%,-21.92%,-32.34%
,ebitda margin growth,329.14%,2.52%,-0.51%,-11.58%
,net income growth,208.46%,-22.12%,-11%,7%
,revenue growth,14.07%,21.63%,3%,16%
,roce,—,-21.13%,-21.32%,22%
,roe,-208.47%,-32.53%,12.46%,-52.39%
