Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,13.72%,28.32%,72.52%
,ebitda margin growth,32.65%,2.46%,12.41%,-24.17%
,net income growth,99.64%,-19.26%,4%,12%
,revenue growth,26.68%,-1.23%,4%,19%
,roce,52.42%,-19.22%,-13.06%,12.74%
,roe,99.66%,-25.37%,14.79%,172.39%
