Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,32776,36154,38213,36465,31182,36859,37825,42919,30187,34924,46490,46255
Expenses,22738,23183,26826,22126,22565,24541,26034,30331,23471,25593,33817,34186
Operating Profit,10038,12971,11388,14339,8617,12317,11790,12588,6716,9331,12673,12069
OPM %,31,36,30,39,28,33,31,29,22,27,27,26
Other Income,2074,2489,2318,1970,1642,2214,4106,1760,2350,2680,5244,2281
Interest,182,227,232,209,208,226,241,265,287,321,344,327
Depreciation,1594,1723,1892,1952,1898,2513,2782,2307,2664,2218,2947,2303
Profit before tax,10336,13510,11582,14147,8153,11792,12873,11776,6115,9473,14627,11719
Tax %,22,24,26,23,23,28,25,25,30,24,25,24
Net Profit,8049,10292,8530,10944,6275,8491,9593,8788,4263,7166,10908,8850
EPS in Rs,13.06,16.64,13.91,17.78,10.21,13.8,15.58,14.27,7.07,11.61,17.59,14.36
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,85244,99586,96080,90026,109715,138252,144762,169177,168400,157856,,
Expenses,75956,74579,74500,71398,84995,94020,96791,126075,131228,117067,,
Operating Profit,9288,25007,21581,18628,24721,44232,47971,43102,37172,40789,,
OPM %,11,25,22,21,23,32,33,25,22,26,,
Other Income,4975,5834,6444,3742,3866,6560,8396,14037,16104,12555,,
Interest,430,264,503,642,541,684,819,884,1216,1278,,
Depreciation,3063,3450,3451,3718,4429,6833,6735,9092,10137,10132,,
Profit before tax,10770,27127,24071,18009,23616,43275,48813,47163,41923,41933,,
Tax %,35,36,31,29,26,27,23,25,26,—,,
Net Profit,7038,17464,16700,12702,17378,31723,37369,35450,31071,31186,,
EPS in Rs,11.34,28.34,27.12,20.61,28.17,51.54,60.69,57.61,50.46,50.63,,
Dividend Payout %,146,46,44,78,60,47,42,46,53,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,6207,6207,6163,6163,6163,6163,6163,6163,6163,6163,,
Reserves,18311,13971,20292,25994,30355,36980,54680,76567,95558,112939,,
Borrowings,3014,1538,2210,6434,5884,3514,4331,6523,9146,14072,,
Other Liabilities,91054,103754,104356,111430,118649,132780,156222,147217,147311,150782,,
Total Liabilities,118587,125471,133021,150020,161051,179436,221396,236470,258177,283956,,
Fixed Assets,23811,27574,32618,36784,42405,46677,64547,75668,82148,87252,,
CWIP,8585,10273,9658,8328,10490,12897,17622,18960,22385,23413,,
Investments,1483,1704,3170,1973,5950,8921,7139,7110,7591,10226,,
Other Assets,84708,85920,87576,102936,102206,110942,132087,134731,146054,163066,,
Total Assets,118587,125471,133021,150020,161051,179436,221396,236470,258177,283956,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,16461,21115,16356,4977,10592,41107,35734,18103,30237,43215,,
Cash from Investing Activity,455,-7747,-7896,1033,182,-25715,-23465,-4486,-11114,-33955,,
Cash from Financing Activity,-17598,-13564,-10885,-4791,-8453,-13441,-13704,-13899,-13308,-11801,,
Net Cash Flow,-682,-196,-2426,1219,2321,1951,-1436,-282,5815,-2541,,
Free Cash Flow,7785,12586,9356,-612,-260,29111,20523,1353,15958,30783,,
CFO/OP,204,307,105,48,86,189,103,62,97,129,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,58,27,20,55,80,38,34,33,27,31,,
Inventory Days,—,—,—,—,—,—,—,—,—,—,,
Days Payable,—,—,—,—,—,—,—,—,—,—,,
Cash Conversion Cycle,58,27,20,55,80,38,34,33,27,31,,
Working Capital Days,-23,-59,-34,23,54,-3,-11,25,-4,4,,
ROCE %,46,45,107,72,46,54,78,64,48,35,,
