Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,76.17%,53.36%,29.56%
,ebitda margin growth,41.29%,3.84%,12.41%,-19.54%
,net income growth,119%,5.09%,-24%,36%
,revenue growth,16.36%,5.63%,-4%,14%
,roce,57.75%,-4.79%,-6.38%,17.14%
,roe,119%,-3.07%,7.35%,-60.47%
