Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,1.29%,45%,-43.23%
,ebitda margin growth,4.38%,-0.09%,0.37%,1.29%
,net income growth,3.85%,14.84%,20%,18%
,revenue growth,4.78%,13.63%,15%,14%
,roce,4.58%,-4.09%,-0.37%,48.41%
,roe,3.85%,-4.37%,36.66%,-17.68%
