Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,76.48%,75.89%,75.74%,75.61%,75.5%,75.32%,75.19%,64.9%,64.66%
FIIs,4.17%,4.33%,4.3%,5.32%,5.58%,6.1%,6.18%,6.13%,5.79%
DIIs,8.59%,9.46%,9.27%,8.57%,8.44%,8.25%,8.45%,9.15%,9.93%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,7.26%,7.18%,7.53%,7.33%,7.31%,7.25%,7.15%,6.8%,6.53%
Others,3.5%,3.15%,3.17%,3.17%,3.18%,3.09%,3.01%,13.02%,13.08%
No. of Shareholders,239696,220338,219626,209369,202739,197894,194143,184772,162826
