Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,812,871,1090,1010,1167,1292,1508,1348,1614,1771,2061,1888
Expenses,901,898,1085,1050,1175,1264,1396,1314,1516,1612,1849,1751
Operating Profit,-89,-27,5,-39,-8,28,112,34,98,159,212,137
OPM %,-11,-3.1,0.5,-3.9,-0.7,2.1,7,2.5,6,9,10,7
Other Income,97,94,98,141,106,100,101,100,87,85,104,93
Interest,7,6,7,6,9,9,9,9,9,9,10,11
Depreciation,22,23,24,25,29,34,33,33,34,34,35,40
Profit before tax,-21,37,73,71,60,85,171,92,142,201,272,179
Tax %,-1,0,17,15,15,16,0,8,5,6,4,9
Net Profit,-21,37,60,60,51,72,170,85,135,189,261,163
EPS in Rs,-0.45,0.84,1.34,1.32,1.11,1.56,3.7,1.84,2.94,4.09,5.64,3.52
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,334,492,771,887,1425,2558,3438,4977,6794,7334,,
Expenses,386,828,1091,1046,2325,3219,3626,4884,6286,6729,,
Operating Profit,-52,-336,-320,-160,-901,-662,-188,93,508,606,,
OPM %,-16,-68,-41,-18,-63,-26,-5,1.9,7,8,,
Other Income,26,37,84,71,124,259,381,449,372,370,,
Interest,0,8,12,12,14,22,27,34,38,39,,
Depreciation,7,30,47,41,43,64,89,121,136,143,,
Profit before tax,-34,-337,-295,-142,-833,-488,77,387,707,794,,
Tax %,76,3,3,6,0,0,16,9,5,—,,
Net Profit,-59,-347,-304,-150,-833,-488,64,352,670,748,,
EPS in Rs,-16396.12,-91265.79,-80007.89,-6583.7,-18.53,-10.82,1.48,7.67,14.48,16.19,,
Dividend Payout %,0,0,0,0,0,0,0,0,0,—,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,0.04,0.04,0.04,0.04,0.05,90,90,90,92,93,,
Reserves,301,787,489,1265,1990,5322,5386,5781,6341,7219,,
Borrowings,1,1,90,110,110,159,227,253,322,360,,
Other Liabilities,43,92,172,202,230,344,551,604,776,1035,,
Total Liabilities,345,880,751,1576,2331,5915,6254,6729,7531,8707,,
Fixed Assets,6,11,119,147,125,205,313,359,418,441,,
CWIP,0,0,0,0,0,0,0,0,0,0,,
Investments,237,650,125,2,138,373,622,1358,2173,3211,,
Other Assets,102,219,507,1427,2068,5338,5319,5011,4940,5054,,
Total Assets,345,880,751,1576,2331,5915,6254,6729,7531,8707,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,-97,-83,-282,-364,29,-1568,-299,9,-183,41,,
Cash from Investing Activity,-244,-434,375,79,-1202,-2125,46,301,492,225,,
Cash from Financing Activity,315,513,-23,1031,759,3621,-42,-57,-73,-81,,
Net Cash Flow,-27,-5,69,746,-415,-71,-295,253,236,186,,
Free Cash Flow,-305,-97,-317,-396,24,-1599,-363,-55,-280,-36,,
CFO/OP,68,107,73,102,12,171,38,-110,-71,15,,
Item,Mar 2016,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,156,105,97,85,71,92,97,67,73,93,,
Cash Conversion Cycle,156,105,97,85,71,92,97,67,73,93,,
Working Capital Days,93,29,-12,0,-12,309,321,323,122,68,,
ROCE %,-63,—,-53,-36,-9,-21,-8,2,6,10,,
