Item,Jun 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,100%,74.79%,74.79%,74.79%
FIIs,0%,8.41%,8.94%,9.69%
DIIs,0%,12%,12.57%,11.44%
Government,0%,0%,0%,0%
Public,0%,3.29%,2.59%,3.02%
Others,0%,1.5%,1.11%,1.07%
No. of Shareholders,7,177073,136462,138042
