Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,97.26%,-156.01%,-150.38%
,ebitda margin growth,-92.05%,-57.84%,-40.72%,-27.4%
,net income growth,-114.33%,-68.97%,-53.7%,-271.82%
,revenue growth,-30.57%,-25.28%,45%,69%
,roce,-100.14%,-73.19%,-47.21%,5.81%
,roe,-114.32%,-69.9%,6.68%,-131.72%
