Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,16.93%,-7.45%,67.65%
,ebitda margin growth,28.32%,-0.92%,1.23%,6.49%
,net income growth,55.49%,11.87%,22%,12%
,revenue growth,17.32%,20.34%,13%,12%
,roce,35.69%,-68.19%,-67.74%,21.09%
,roe,55.49%,-51.71%,20.5%,-6.89%
