Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,629,673,692,713,764,798,833,848,897,943,985,993
Expenses,132,156,166,173,180,187,197,207,208,214,240,248
Financing Profit,258,266,264,263,299,314,321,309,348,382,401,368
Financing Margin %,41,40,38,37,39,39,39,36,39,40,41,37
Other Income,0,0,0,0,0,0,1,3,2,-15,8,4
Interest,239,251,262,277,285,297,315,332,342,348,343,376
Depreciation,5,5,6,6,6,6,6,7,7,7,11,9
Profit before tax,253,261,259,257,292,308,316,305,343,360,398,364
Tax %,22,22,22,22,22,22,22,22,22,22,22,22
Net Profit,197,204,202,200,228,239,245,237,266,281,311,282
EPS in Rs,5,5.17,5.11,4.69,5.29,5.56,5.68,5.49,6.15,6.48,7.14,6.46
Gross NPA %,1.4,1.4,1.1,1.31,1.3,1.36,1.05,1.34,1.4,1.38,1.08,1.31
Net NPA %,0.9,0.97,0.7,0.9,0.9,0.95,0.7,1,—,1.01,0.8,0.9
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,,
---,---,---,---,---,---,---,---,---,---,,,
Revenue,1266,1388,1575,1728,2043,2587,3109,3683,3817,,,
Expenses,276,350,316,387,507,619,736,868,910,,,
Financing Profit,258,245,444,580,737,981,1199,1451,1499,,,
Financing Margin %,20,18,28,34,36,38,39,39,39,,,
Other Income,-14,-2,0,0,-25,0,0,-13,0,,,
Interest,732,793,816,761,799,987,1174,1364,1409,,,
Depreciation,9,12,11,13,16,21,25,32,34,,,
Profit before tax,235,231,433,567,696,960,1173,1406,1464,,,
Tax %,31,18,21,22,22,22,22,22,—,,,
Net Profit,162,189,340,445,545,750,912,1096,1141,,,
EPS in Rs,64.37,47.99,8.62,11.27,13.8,18.99,21.14,25.15,26.23,,,
Dividend Payout %,0,0,0,0,0,0,0,0,—,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Equity Capital,25,39,395,395,395,395,431,436,,,,
Reserves,834,2308,2298,2752,3303,4055,5941,7105,,,,
Borrowing,8195,9643,10374,10675,12153,13960,16322,18744,,,,
Other Liabilities,426,376,563,554,766,683,529,1114,,,,
Total Liabilities,9480,12366,13630,14376,16618,19093,23224,27399,,,,
Fixed Assets,42,44,53,55,63,80,92,138,,,,
CWIP,0,0,0,0,0,0,0,0,,,,
Investments,150,24,497,338,459,462,513,637,,,,
Other Assets,9289,12298,13080,13982,16095,18551,22618,26624,,,,
Total Assets,9480,12366,13630,14376,16618,19093,23224,27399,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
Cash from Operating Activity,-2554,-1785,-1202,-907,-1156,-2550,-3027,-2808,,,,
Cash from Investing Activity,-49,-1495,-480,823,-477,723,160,309,,,,
Cash from Financing Activity,3356,3701,701,275,1463,1778,3389,2336,,,,
Net Cash Flow,754,422,-981,191,-169,-49,522,-164,,,,
Free Cash Flow,-2562,-1788,-1207,-918,-1166,-2565,-3041,-2827,,,,
CFO/OP,-250,-165,-88,-59,-66,-118,-117,-89,,,,
Item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,,,
---,---,---,---,---,---,---,---,---,,,,
ROE %,20,12,14,15,16,18,17,16,,,,
