Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,2438,2046,2170,2130,2001,1979,2184,1825,1969,2280,2025,1907
Expenses,2105,1837,1960,1860,1678,1658,1886,1586,1810,2024,2280,1808
Operating Profit,333,209,210,270,323,321,298,239,159,256,-255,100
OPM %,14,10,10,13,16,16,14,13,8,11,-13,5
Other Income,-55,-27,-11,-17,45,-46,36,25,26,9,76,31
Interest,23,18,7,6,8,11,8,8,13,9,15,13
Depreciation,77,76,77,76,73,66,64,59,57,54,47,44
Profit before tax,177,87,115,172,286,198,262,197,115,202,-241,74
Tax %,31,33,88,31,27,17,28,27,34,23,-57,0
Net Profit,123,58,13,118,209,164,188,144,76,155,-104,74
EPS in Rs,1.28,0.61,0.14,1.23,2.18,1.7,1.96,1.5,0.8,1.62,-1.08,0.77
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,6686,7934,8130,7730,8186,8088,8637,8294,8099,8181,,
Expenses,4605,5370,6870,6123,6409,6981,7726,7082,7700,7922,,
Operating Profit,2081,2564,1260,1606,1777,1107,911,1212,399,259,,
OPM %,31,32,15,21,22,14,11,15,4.9,3.2,,
Other Income,565,236,112,-29,-111,-459,-206,17,137,143,,
Interest,145,130,145,57,44,70,72,33,45,50,,
Depreciation,182,235,271,265,221,313,309,278,217,202,,
Profit before tax,2319,2434,956,1256,1400,264,323,918,274,150,,
Tax %,36,36,45,37,32,82,56,26,1,—,,
Net Profit,1478,1567,525,793,956,48,141,680,271,202,,
EPS in Rs,15.4,16.32,5.48,8.33,10.04,0.5,1.47,7.07,2.84,2.11,,
Dividend Payout %,19,21,5,30,30,0,68,34,70,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,96,96,96,96,96,96,96,96,96,96,,
Reserves,6594,7466,8828,9248,9998,10767,10626,10777,11437,11634,,
Borrowings,2203,1526,1114,650,423,76,282,230,321,265,,
Other Liabilities,1364,2042,2895,2424,2301,2300,2724,2347,1880,2220,,
Total Liabilities,10258,11130,12933,12418,12819,13240,13728,13450,13734,14216,,
Fixed Assets,916,1476,1414,1315,1191,1225,1360,1204,1005,906,,
CWIP,156,92,156,83,75,87,19,10,1,6,,
Investments,1343,1529,976,325,798,65,35,39,1195,1275,,
Other Assets,7843,8033,10386,10695,10754,11862,12315,12197,11533,12029,,
Total Assets,10258,11130,12933,12418,12819,13240,13728,13450,13734,14216,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,741,554,135,250,1548,280,129,714,1161,708,,
Cash from Investing Activity,1325,-1041,864,397,-511,586,-202,-46,-1576,-291,,
Cash from Financing Activity,-414,-1090,-966,-1062,-541,-715,-408,-274,23,-339,,
Net Cash Flow,1652,-1577,33,-415,496,150,-481,395,-393,77,,
Free Cash Flow,515,300,-146,105,1374,51,-127,606,1073,553,,
CFO/OP,83,67,42,45,128,44,47,105,102,229,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,70,84,84,96,92,77,73,72,67,78,,
Inventory Days,—,526,617,624,644,824,877,663,—,—,,
Days Payable,—,230,239,196,167,177,210,138,—,—,,
Cash Conversion Cycle,70,380,463,524,569,725,740,597,67,78,,
Working Capital Days,151,180,236,294,295,340,352,326,335,322,,
ROCE %,24,26,27,14,14,16,8,6,9,3,,
