Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,26.11%,42.61%,88.18%
,ebitda margin growth,-6.81%,-4.82%,-6.44%,-17.53%
,net income growth,-14.52%,16.48%,8%,17%
,revenue growth,1.12%,23.91%,25%,28%
,roce,-8.83%,3.17%,2.81%,14.75%
,roe,-14.46%,0.35%,11.39%,-10.22%
