Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,173.16%,-66.92%,-63.36%
,ebitda margin growth,-49.61%,-1.07%,12.01%,33.54%
,net income growth,-52.63%,13.93%,27%,24%
,revenue growth,-44.69%,14.95%,16%,14%
,roce,-52.13%,-5.46%,5.81%,28.85%
,roe,-52.63%,-5.14%,25.22%,31.09%
