Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,54.99%,54.99%,54.99%,48.7%,48.7%,48.7%,48.7%,48.7%,48.7%,48.7%,48.7%,42.41%
FIIs,12.68%,12.52%,12.55%,15.76%,16.61%,17%,15.64%,15.83%,15.44%,16.02%,15.19%,17.28%
DIIs,17.28%,17.23%,16%,21.46%,21.54%,21%,22.72%,22.67%,24.37%,25.24%,28.29%,32.9%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,7.44%,7.62%,8.75%,7.29%,6.45%,6.63%,6.35%,6.25%,5.75%,6.16%,5.92%,5.45%
Others,7.61%,7.65%,7.71%,6.79%,6.7%,6.67%,6.59%,6.55%,5.73%,3.88%,1.9%,1.96%
No. of Shareholders,79176,82695,85914,81973,72494,74061,72908,65341,59949,64694,59164,63842
