Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-1.24%,-3.17%,87.43%
,ebitda margin growth,-7.22%,6.23%,5.21%,9.72%
,net income growth,-7.2%,11.97%,7%,14%
,revenue growth,0.26%,12.13%,10%,13%
,roce,-9.08%,-3.45%,-17.8%,35.5%
,roe,-7.2%,-5.32%,27.33%,-14.44%
