Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-346.19%,41.48%,-2.09%
,ebitda margin growth,30.64%,4.62%,-31.35%,-10.15%
,net income growth,45.33%,46.33%,-2%,40%
,revenue growth,11.62%,5.32%,20%,24%
,roce,31.1%,-3.51%,-27.63%,10.27%
,roe,45.31%,29.84%,13.19%,17.12%
