Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-629.35%,-784.53%,—
,ebitda margin growth,-31.21%,5.57%,15.9%,40.41%
,net income growth,-38.16%,24.03%,51%,104%
,revenue growth,-25.22%,33.74%,48%,54%
,roce,-30.97%,-24.72%,6.74%,17.57%
,roe,-38.14%,-25.97%,8.44%,-62.66%
