Item,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,1784,1965,2138,1942,1841,2038,2343,2174,2046
Expenses,1506,1684,1805,1633,1577,1721,1931,1822,1738
Operating Profit,279,281,333,309,263,317,412,352,308
OPM %,16,14,16,16,14,16,18,16,15
Other Income,14,-78,22,21,23,21,-22,15,18
Interest,97,109,96,89,85,98,95,86,83
Depreciation,162,175,176,188,173,209,204,210,204
Profit before tax,33,-81,83,52,28,31,91,70,39
Tax %,31,-27,27,26,15,25,24,23,26
Net Profit,23,-59,60,38,24,23,69,55,29
EPS in Rs,—,—,—,—,0.2,0.19,0.57,0.45,0.24
Item,Mar 2025,Mar 2026,TTM,,,,,,
---,---,---,---,,,,,,
Sales,7830,8396,8601,,,,,,
Expenses,6607,7025,7212,,,,,,
Operating Profit,1223,1371,1389,,,,,,
OPM %,16,16,16,,,,,,
Other Income,-21,36,32,,,,,,
Interest,413,392,363,,,,,,
Depreciation,706,795,827,,,,,,
Profit before tax,83,220,231,,,,,,
Tax %,29,22,—,,,,,,
Net Profit,60,171,176,,,,,,
EPS in Rs,—,1.4,1.45,,,,,,
Dividend Payout %,0,36,—,,,,,,
Item,Mar 2025,Mar 2026,,,,,,,
---,---,---,,,,,,,
Equity Capital,0.05,1221,,,,,,,
Reserves,1276,192,,,,,,,
Borrowings,2932,3018,,,,,,,
Other Liabilities,4070,4290,,,,,,,
Total Liabilities,8279,8720,,,,,,,
Fixed Assets,3280,3609,,,,,,,
CWIP,13,46,,,,,,,
Investments,117,16,,,,,,,
Other Assets,4869,5049,,,,,,,
Total Assets,8279,8720,,,,,,,
Item,Mar 2025,Mar 2026,,,,,,,
---,---,---,,,,,,,
Cash from Operating Activity,1144,1219,,,,,,,
Cash from Investing Activity,7,-198,,,,,,,
Cash from Financing Activity,-1230,-983,,,,,,,
Net Cash Flow,-79,38,,,,,,,
Free Cash Flow,901,896,,,,,,,
CFO/OP,94,92,,,,,,,
Item,Mar 2025,Mar 2026,,,,,,,
---,---,---,,,,,,,
Debtor Days,62,52,,,,,,,
Inventory Days,235,252,,,,,,,
Days Payable,237,246,,,,,,,
Cash Conversion Cycle,60,59,,,,,,,
Working Capital Days,-16,8,,,,,,,
ROCE %,—,15,,,,,,,
