Item,Metric,QoQ,1Y,3Y,5Y
,cash flow growth,—,-268.76%,-247.64%,-175.36%
,ebitda margin growth,64.43%,-21.86%,219.33%,-242.14%
,net income growth,-35.94%,39.5%,30%,23%
,revenue growth,1.16%,19.05%,8%,20%
,roce,82.11%,-28.88%,—,15.27%
,roe,-35.93%,21.15%,9.02%,-108.28%
