Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Revenue,27418,28865,30231,31159,31601,32162,32452,32348,32310,33709,34171,35542
Expenses,10059,10506,11124,11892,12412,11913,11943,13983,14302,12743,14816,12837
Financing Profit,2609,2416,2379,2006,1575,2210,2389,127,36,2181,275,2490
Financing Margin %,10,8,8,6,5,7,7,0,0,6,1,7
Other Income,5705,6272,7606,6637,7603,6797,7506,8053,7460,7189,6972,7671
Interest,14749,15943,16727,17261,17615,18040,18121,18239,17971,18785,19080,20215
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,8314,8688,9985,8643,9177,9007,9895,8180,7496,9371,7247,10161
Tax %,25,25,24,25,19,25,24,23,26,25,-5,25
Net Profit,6230,6520,7630,6467,7436,6779,7509,6279,5567,7060,7642,7670
EPS in Rs,20.13,21.05,24.62,20.83,23.93,21.78,24.13,20.13,17.82,22.58,24.46,24.54
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Revenue,46614,56044,63716,64397,68846,87448,112759,127374,132538,135732,,
Expenses,29717,28020,35976,32621,31216,30644,40036,46395,53954,54698,,
Financing Profit,-10706,-5860,-10256,-2851,2707,13416,11333,9943,4509,4983,,
Financing Margin %,-23,-10,-16,-4,4,15,10,8,3,4,,
Other Income,11863,14189,16342,13577,17268,18349,25230,28543,29674,29292,,
Interest,27604,33883,37996,34627,34923,43389,61391,71036,74075,76051,,
Depreciation,591,737,806,976,1046,13143,1385,1763,1889,0,,
Profit before tax,566,7592,5280,9750,18929,18621,35178,36722,32293,34275,,
Tax %,18,34,64,26,25,42,25,23,18,—,,
Net Profit,464,5047,1879,7252,14207,10919,26492,28191,26548,27939,,
EPS in Rs,1.78,19.59,6.57,23.49,45.99,35.16,85.49,90.58,84.89,89.4,,
Dividend Payout %,0,5,0,0,2,3,1,1,1,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,479,513,514,564,613,614,615,617,619,622,,
Reserves,55901,63694,67288,85776,102981,117647,129166,156406,186616,214414,,
Borrowing,112455,155767,161250,155180,152249,199778,206214,228200,220687,280511,,
Deposits,414983,455658,550746,642157,698303,820914,945825,1067102,1170921,1333791,,
Other Liabilities,27644,28071,34248,44194,46859,56576,62598,65913,78119,116713,,
Total Liabilities,611462,703703,814046,927872,1001005,1195529,1344418,1518239,1656963,1946050,,
Fixed Assets,3518,3697,3842,3912,4501,4753,5000,5860,6661,6776,,
CWIP,292,352,288,483,118,215,142,267,121,269,,
Investments,129018,153037,174056,155282,225336,274608,288095,332354,396685,446422,,
Other Assets,478633,546618,635860,768196,771050,915952,1051181,1179758,1253496,1492583,,
Total Assets,611462,703703,814046,927872,1001005,1195529,1344418,1518239,1656963,1946050,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,32209,-38390,37125,30416,12633,28137,22075,-5555,44384,-8637,,
Cash from Investing Activity,-12458,-10007,-18674,-9485,-54288,-27112,-32351,-9001,-51178,-45068,,
Cash from Financing Activity,-2487,41342,5643,8865,7279,47894,6641,22341,-7000,60358,,
Net Cash Flow,17263,-7055,24094,29795,-34375,48919,-3636,7785,-13794,6653,,
Free Cash Flow,31441,-39233,36300,29339,11708,26736,20697,-7931,41951,-10797,,
CFO/OP,180,-208,144,121,46,87,51,2,65,-2,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
ROE %,7,1,8,2,8,13,9,18,16,13,,
