Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,882,914,906,926,955,939,908,892,918,953,994,1021
Expenses,618,644,645,674,689,693,701,705,725,731,749,805
Operating Profit,264,270,261,252,266,247,208,187,193,222,245,216
OPM %,30,30,29,27,28,26,23,21,21,23,25,21
Other Income,31,35,34,32,64,40,43,38,49,-50,51,41
Interest,6,6,5,5,5,5,5,5,4,4,4,3
Depreciation,25,25,28,27,27,26,25,24,23,23,23,22
Profit before tax,264,274,262,252,299,256,221,196,215,146,268,232
Tax %,24,25,25,27,23,22,22,26,28,26,18,27
Net Profit,200,206,197,184,229,199,172,144,155,109,220,171
EPS in Rs,32.12,33.15,31.62,29.56,36.84,31.95,27.68,23.18,24.85,17.48,35.37,27.38
Item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM,,
---,---,---,---,---,---,---,---,---,---,---,,
Sales,1386,1597,1610,1826,2471,3145,3552,3729,3757,3886,,
Expenses,1039,1181,1266,1303,1704,2182,2505,2755,2909,3010,,
Operating Profit,347,416,344,524,767,962,1047,974,848,876,,
OPM %,25,26,21,29,31,31,29,26,23,23,,
Other Income,43,43,58,40,45,74,122,179,88,91,,
Interest,1,1,7,7,10,17,21,20,18,14,,
Depreciation,25,25,43,44,55,81,99,105,94,92,,
Profit before tax,364,433,352,512,745,938,1049,1028,825,861,,
Tax %,34,33,27,28,26,19,24,24,24,—,,
Net Profit,240,290,256,368,550,755,792,785,628,655,,
EPS in Rs,38.54,46.56,41.12,59.11,88.26,121.26,127.21,126.03,100.88,105.08,,
Dividend Payout %,29,29,40,81,48,50,55,60,74,—,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Equity Capital,31,62,62,62,62,62,62,62,62,62,,
Reserves,527,676,880,1028,1290,1539,2023,2443,2798,2979,,
Borrowings,0,0,0,58,73,138,185,225,192,162,,
Other Liabilities,158,207,201,241,291,430,493,457,533,759,,
Total Liabilities,715,945,1143,1389,1717,2169,2764,3187,3586,3963,,
Fixed Assets,108,94,101,147,170,272,334,396,318,259,,
CWIP,1,2,0,1,7,22,7,2,2,0,,
Investments,0,0,0,0,0,0,0,0,0,0,,
Other Assets,607,848,1042,1241,1540,1876,2423,2789,3266,3703,,
Total Assets,715,945,1143,1389,1717,2169,2764,3187,3586,3963,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Cash from Operating Activity,144,197,215,256,437,483,487,701,812,664,,
Cash from Investing Activity,28,-245,-162,43,-439,-106,-201,-274,-311,-70,,
Cash from Financing Activity,-52,-60,-83,-124,-126,-326,-303,-428,-499,-535,,
Net Cash Flow,120,-108,-30,175,-128,51,-17,-1,2,59,,
Free Cash Flow,118,185,184,233,399,412,423,618,796,654,,
CFO/OP,88,90,86,100,107,90,70,92,106,105,,
Item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,,
---,---,---,---,---,---,---,---,---,---,---,,
Debtor Days,72,81,81,89,98,99,113,100,95,105,,
Inventory Days,—,0,6,8,—,2,1,2,—,—,,
Days Payable,—,—,205,212,—,244,202,162,—,—,,
Cash Conversion Cycle,72,81,-117,-116,98,-143,-88,-60,95,105,,
Working Capital Days,54,59,69,72,53,47,75,72,65,53,,
ROCE %,56,57,51,35,40,48,48,43,36,30,,
