Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,52.55%,52.55%,52.55%,52.52%,52.51%,52.48%,52.47%,52.44%,52.42%,52.38%,52.37%,52.34%
FIIs,16.12%,17.99%,20.01%,20.61%,21.55%,21.32%,20.51%,21.97%,24.69%,23.99%,24.45%,24.1%
DIIs,20.37%,19.51%,18.37%,17.67%,16.91%,17.04%,18.01%,16.66%,14.13%,14.89%,14.43%,14.76%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,8.92%,8.37%,7.69%,7.78%,7.61%,7.72%,7.61%,7.45%,7.37%,7.32%,7.32%,7.34%
Others,2.04%,1.59%,1.38%,1.42%,1.41%,1.44%,1.4%,1.48%,1.38%,1.41%,1.43%,1.46%
No. of Shareholders,497961,457910,436183,432584,426681,436623,433737,426484,432251,432820,435815,432914
