Item,Dec 2025,Mar 2026,Jun 2026
Promoters,87.59%,87.59%,87.6%
FIIs,2.65%,2.4%,2.95%
DIIs,6.53%,7.19%,6.81%
Government,0%,0%,0%
Public,1.98%,1.68%,1.64%
Others,1.24%,1.15%,1.01%
No. of Shareholders,11,624271,590748
