Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,86.46%,86.46%,86.46%,86.46%,86.46%,79.6%,79.6%,79.6%,79.6%,73.6%,73.6%,73.6%
FIIs,0%,0%,1.04%,1.2%,1.26%,1.53%,1.73%,1.89%,2.34%,4.93%,5.55%,5.81%
DIIs,5.18%,4.71%,4.68%,4.58%,4.47%,10.87%,10.67%,10.4%,10.05%,13.5%,13.92%,14.27%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,6.85%,7.53%,7.16%,7.13%,6.96%,7.03%,7.06%,7.02%,6.83%,6.77%,5.85%,5.27%
Others,1.51%,1.3%,0.66%,0.63%,0.86%,0.96%,0.94%,1.09%,1.17%,1.2%,1.07%,1.04%
No. of Shareholders,606046,677087,846746,919663,948432,995543,1006260,991930,974484,967566,901410,875943
