Item,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Promoters,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%
FIIs,33.31%,26.82%,26.22%,25.57%,27.31%,28.61%,28.77%,29.04%,28.03%,26.3%,27.12%,26.27%
DIIs,5.93%,9.92%,11.36%,12.86%,11.8%,11.1%,11.18%,10.86%,11.65%,13.45%,12.93%,13.68%
Government,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Public,9.28%,10.54%,10.34%,9.87%,9.24%,8.88%,8.66%,8.69%,8.89%,8.81%,8.58%,8.6%
Others,1.48%,2.71%,2.08%,1.69%,1.64%,1.41%,1.39%,1.41%,1.43%,1.44%,1.37%,1.44%
No. of Shareholders,384845,433628,454319,456043,455045,436896,426703,423031,438901,435497,437469,428892
